,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
cell_line,Caco-2,Caco-2,SJCRH30,SJCRH30,SJCRH30,SJCRH30,SJCRH30,SJCRH30,BE2C,BE2C,BE2C,BE2C,SJSA1,SJSA1,SJSA1,SJSA1,SJSA1,HAP-1,HAP-1,HAP-1,HAP-1,HAP-1,HAP-1,HL-60,MG63,MG63,MG63,MG63,VCaP,VCaP,C4-2B,C4-2B,RWPE2,RWPE2,RWPE2,22Rv1,22Rv1,RWPE1,RWPE1
modification,H3K4me1,H3K9me3,H3K27ac,H3K4me1,H3K9me3,H3K36me3,H3K27me3,H3K4me3,H3K4me1,H3K9me3,H3K36me3,H3K27me3,H3K27ac,H3K9me3,H3K36me3,H3K27me3,H3K4me3,H3K27ac,H3K4me1,H3K9me3,H3K36me3,H3K27me3,H3K4me3,H3K27ac,H3K9me3,H3K36me3,H3K27me3,H3K4me3,CTCF,H3K27ac,CTCF,H3K27ac,CTCF,H3K27ac,H3K36me3,CTCF,H3K27ac,CTCF,H3K27ac
Alu,-0.01899923545982385,-0.05546443505186088,0.004657890473531534,0.025347609607987206,0.04671787113199935,0.012634007056027644,-0.0037096879478753747,0.0031122943199717043,0.04131374270429646,-0.008656272589808956,0.004781953903361302,-0.013871687415840678,0.005864543074333428,-0.011212911707186704,-0.021760157336960594,0.011577354323719369,-0.04885277900676242,-0.03278253093894333,-9.536267261810191e-05,-0.06069511361710908,-0.020728317684997957,-0.022447690834474118,-0.07217482215210719,0.006863558404060411,-0.0024773651934616916,-0.008182327002738654,0.0044560599901362925,-0.019485272849598195,-0.05427218264771899,-0.06168983191645107,0.28317943269356405,0.07387819842086032,-0.10567495258173287,-0.0803986710328158,-0.005640555723966296,-0.07569082502177081,-0.05393581913889421,-0.03853079652356701,-0.3100738232563173
L1,0.039828330793936904,-0.11464164980437402,0.0011261402830682894,0.04309951668936922,-0.13974105392525615,0.050913880218684454,0.04324993982817711,-0.015858089750646797,0.054199848427449376,-0.11756285764245579,0.04578592285954647,0.012623743102289281,0.004154153826851554,-0.13951328099046723,0.019699174909721947,-0.0004924683285428188,-0.03615928394316328,0.06352972142170357,0.035104300181389735,-0.12023596721457573,0.02875276346288879,0.00399408241107998,-0.0010139955482988045,0.016733042222469945,-0.16204064006456909,0.03175695062292139,-0.02103431991142751,-0.0006280139753502477,0.03850481738436512,0.07802065075203041,0.0833608394421965,0.16684151229570332,0.024880022580128797,0.04432118084264593,0.06537729589147258,0.0349741473435399,0.04911217058149013,0.13491913675219358,0.15521614182939086
MIR,-0.026302142632410583,0.025275067706708773,-0.0033234958811608505,-0.015347326270007825,0.015748318677645912,-0.019740488687333885,0.005764415267099163,-0.027010529244157887,-0.01113408464419364,-0.0013778423260821578,-0.03494302859598208,-0.010419630011690278,-0.02072029758683193,0.009277814685953126,-0.05598659470273216,-0.006481215451715467,-0.04896535241252205,-0.024079343260687638,-0.01875204802821793,-0.0017613128863498044,-0.039870641272763706,-0.003715242698364825,-0.04186536602699755,-0.030560186256185416,0.00639825406924103,-0.05282648139404624,0.0007347434545828496,-0.02593599350874629,-0.0118188920285915,-0.06531797563491822,0.075630863504544,-0.06515539532812502,-0.009644699863980236,-0.03449950746884216,-0.01555597914648551,-0.041436155403443864,-0.048360280643270755,0.08270694270272337,-0.07204351653399989
L2,-0.038960922522269174,0.03633977238492315,-0.013861307357130311,-0.0247986400232844,0.05221490476823316,-0.020156505186303863,0.0051155003263868215,-0.03235766782691419,-0.012436258787060646,0.01648941345606805,-0.038724268366114596,-0.018230411739374338,-0.031004483017934126,0.0338673324776462,-0.05989507484136314,-0.0037561311430774785,-0.06282177926662114,-0.05402277257171632,-0.026007339154943576,-0.00031359319967405776,-0.05344296179236445,-0.015716467092150077,-0.0654259272680552,-0.03569438223268853,0.02631192679161991,-0.05807518866371801,-0.0005054452608081663,-0.04124467133284186,-0.029898712274092406,-0.08910181016693607,0.09329187872968182,-0.09365746025087249,-0.019002161970597158,-0.05130612749210987,-0.015563858335703043,-0.0741333787613795,-0.06793756564571371,0.08171289207011641,-0.10917016577696463
ERVL-MaLR,0.046020803184066095,-0.15069692150452588,-0.001625976994549628,0.03129233556209992,-0.08809934919122517,-0.03910767363207409,0.005280686967432477,0.0009665389274029626,-0.0011392293167432467,-0.08132447055383565,-0.03157626616408227,0.009741101395628206,0.011571634838393503,-0.07386500532356002,-0.02518392949489429,0.03783640926226541,-0.015572080423109754,-0.00787355100276745,-0.0012381023920643793,-0.13387136262545338,-0.03245098126386962,0.042165514103513886,-0.024630771501796628,0.00947413948825291,-0.14076391344146738,-0.06250264445087608,0.004646871425541469,-0.013175082299193758,0.004111962159482198,0.0072219929617148085,0.06996658276000214,-0.06902022640332488,-0.004657028673955643,0.007002420604690346,-0.01796953344106117,-0.011679325963098263,0.0009474575951856737,0.07738197642132721,0.02560636506671509
hAT-Charlie,0.005669015826373329,-0.01615816929056662,0.0018737119705039558,0.005337505184485344,-0.003821111058789922,-0.034509994909513696,0.009758905533159475,-0.007612292408123958,0.0008151574245036617,-0.0073541504859788945,-0.031131275163351717,0.010628166483456675,0.002475097110031282,0.012745068251713168,-0.03565481450652882,0.026259362892643506,-0.014364275358379296,-0.022889098535682495,-0.007867217045959461,-0.03181784792042546,-0.04228145949426596,0.014461970582298415,-0.02321742898125498,-0.0014620406496588022,-0.010374095197461458,-0.04700625947915632,0.01568694975516189,-0.007274642770745664,-0.02556680250503262,-0.03467822482783311,0.06079722132249175,-0.053719338822679034,-0.04254669703885148,-0.03246918750686285,-0.035721892994394544,-0.03650265259165547,-0.03361231770654093,0.06183751209122616,-0.056602845967047996
ERV1,-0.06614658915587382,-0.08234210822207379,0.0027760155748016266,0.008449816491988846,-0.05079663004447417,-0.004914206741761417,-0.00629913527311161,-0.006953620750757449,-0.0012378529980936318,-0.07192533962270728,-0.03528025578252019,-0.014129106268886488,-0.011153373864532242,-0.07172028477650252,-0.06822319102174079,0.01774530931965385,-0.05994544462075947,-0.05495158555758096,-0.050848533704358684,-0.10199675415672343,-0.059552490149432154,0.024536194693346936,-0.06017098583778043,-0.0035565647618900076,-0.09063564839682381,-0.06972450210828414,0.007390631949401043,-0.021363636571672208,-0.014709132357338426,-0.06202284991552304,0.139654191779079,-0.12245887130333816,0.0018451544869173908,-0.04743341785526059,0.010482855218495773,-0.05410027036852658,-0.058611464297828944,0.1362894553668177,-0.10422770434253197
ERVL,-0.012520343693857334,-0.0628716375110507,0.010027021786818809,0.01565208646806909,-0.023001624737547317,-0.04866787558547451,0.014119405670735777,-0.006866691221025667,0.01580817978336166,-0.009093815840420336,-0.03110056586069432,0.0210529412448224,-0.00478549986452774,0.03570395832177255,-0.019907110073988887,0.034821348108003726,-0.003937722342400242,-0.04207429173811343,-0.014602558045962763,-0.026900856231863186,-0.025451545673373186,0.03211769772542407,-0.001839137015595404,0.008029633045276286,-0.007664262625302766,-0.034459398387851364,0.05729410078691204,0.011525204394141437,0.032783478277046994,-0.027414938032894794,0.07387185243945817,-0.07703024321243448,0.013960361883249063,-0.04026308013524128,-0.051634764470849324,-0.0036748273315485363,-0.021072265767059072,0.08071734661929368,-0.08464475839961924
TcMar-Tigger,0.036730993093686576,-0.02960645717262339,0.03083601568005165,0.05357210779803585,-0.08368991180002715,-0.03587805182619396,0.017618319004357452,-0.01935872285383211,0.04745945913196408,-0.03904216852046569,-0.027404022351900748,0.031054852459410177,-0.005043137322389378,-0.06280927864847928,-0.05191263309851629,0.011005876545320058,-0.02011113936930728,4.143167132406189e-06,0.041319289637414054,-0.03505784363903722,-0.03991200587821196,0.04132248097374152,0.006111410986977284,0.005051681344393578,-0.0650401182379307,-0.03854449560221886,0.0394382783280401,0.004904103227310929,0.021426034540180033,0.06345789474216072,0.05089313719068001,0.08448333822188771,0.005053167065130539,0.014414660244293203,-0.04073237562064358,0.022908420329512676,0.01125719008278385,0.07666387885006236,0.07094459977666506
hAT-Tip100,-0.010854011351209163,-0.02717717822602449,0.010021752454700699,-0.015482089552879592,-0.00994935292890214,-0.03397955481411938,-0.0015881613925636925,-0.02548285939403192,0.0026444182019500877,0.015543426554114293,-0.005821275644332934,-0.003753929102602026,-0.009437372595429788,0.07569802383574037,0.019147300908074753,-0.006384798725673777,0.015471076792072453,-0.03152154342947918,-0.02095694698243649,0.01417656580184477,-0.003023345013587907,-0.003356394919995778,-0.018599039163550723,-0.011447606489320097,0.025303684780708328,0.003778756146110091,0.04193099242242926,-0.0020540311256906497,0.0022930712404348446,-0.03254388881312599,0.010804959630843918,0.0053704018883112365,-0.02800765874713714,-0.03990525990994294,-0.05528462013098334,-0.01207828463121763,-0.01801141192348921,-0.032678504046377274,-0.068683293126833
CR1,-0.03501492498710586,0.026751943834619415,-0.014532266199592626,-0.022319276302743284,0.032833050401474585,-0.0231966632544442,0.019783200890216172,-0.028101991967973444,-0.020674381418477987,0.021171715101491,-0.03781217469101967,-0.012337198437001049,-0.0264956624532022,0.023463023438889393,-0.04957148852069824,0.01564116383054378,-0.03722973571127501,-0.03825609918261728,-0.0371502232108719,0.014715989339044453,-0.05059248302075961,0.010757673097538615,-0.036865040269191164,-0.030934289232607545,0.025810057438672415,-0.04820624413210533,0.013677030699602943,-0.02840025566232574,-0.00509231547618912,-0.060735983628181445,0.03521556551695409,-0.042320841575514405,-0.0008257789217193276,-0.03920988986477587,-0.03149307069979065,-0.023223225193532954,-0.0440965022438091,0.04429324325009753,-0.04409958580972413
