,cell_line,modification,family_name,r,p_value,ci_low,ci_high
0,Caco-2,H3K4me1,Alu,0.0010455731109161805,0.26628408599709025,-0.0007978725911853537,0.0028890117067117455
1,Caco-2,H3K4me1,L1,0.0013050560247008618,0.3288749458561856,-0.0013146791209856863,0.0039247732572484624
2,Caco-2,H3K4me1,MIR,-0.002604588236653203,0.05794687227561675,-0.0052968663092295264,8.772759470155852e-05
3,Caco-2,H3K4me1,L2,0.001598171005250154,0.32985563137435314,-0.0016164676203784644,0.004812776600450323
4,Caco-2,H3K4me1,ERVL-MaLR,-0.0007493231048264176,0.7044507727338554,-0.004621089004020527,0.003122465260073338
5,Caco-2,H3K4me1,hAT-Charlie,0.0014383932015523764,0.4906878963561843,-0.002652054473316209,0.005528792743181835
6,Caco-2,H3K4me1,ERV1,0.00048696008964836896,0.8703584354102063,-0.005361074418927411,0.006334961290815369
7,Caco-2,H3K4me1,ERVL,0.0014348818367174282,0.6269111219035701,-0.004350824189251206,0.007220491800482742
8,Caco-2,H3K4me1,TcMar-Tigger,-0.00047872812098116117,0.876853069047503,-0.006533706409934683,0.005576285271174313
9,Caco-2,H3K4me1,hAT-Tip100,0.0020752736161770546,0.6219745486494437,-0.00617421861888327,0.010324483397843814
10,Caco-2,H3K4me1,CR1,0.0015718912386514451,0.7279646963033364,-0.007285266791008094,0.010428802647196422
11,Caco-2,H3K4me1,Gypsy,0.008711488573309155,0.23838947230450414,-0.005770368067414215,0.023189691839134878
12,Caco-2,H3K4me1,hAT-Blackjack,0.006826037984986515,0.38797543633907594,-0.008671420552240057,0.022320218227302163
13,Caco-2,H3K4me1,TcMar-Mariner,0.022302877469969475,0.005734018729895856,0.006481272657080442,0.03811331875403154
14,Caco-2,H3K4me1,RTE-X,0.006356220012628236,0.5097659709788943,-0.012542213281813572,0.0252501139563473
15,Caco-2,H3K4me1,ERVK,0.0005869908312647361,0.9595963970519832,-0.02211998195829605,0.02329335832404365
16,Caco-2,H3K4me1,TcMar-Tc2,-0.013076909623761132,0.27827252769853966,-0.036702655309130694,0.010563446018064837
17,Caco-2,H3K4me1,SVA,0.00950628282371313,0.4635849517964858,-0.015914027229217018,0.03491431193134413
18,Caco-2,H3K4me1,RTE-BovB,0.005242125849861241,0.7107816333468411,-0.022463811207452816,0.03294001711292542
19,Caco-2,H3K4me1,tRNA-RTE,0.0072621346949520976,0.6412147979047373,-0.02327976361499776,0.03779048995016284
20,Caco-2,H3K4me1,hAT-Ac,0.003326178104105269,0.8451371234511551,-0.030043085014581198,0.03668803533484603
21,Caco-2,H3K4me1,hAT,0.010646426168559582,0.5587831986381061,-0.025042691776737833,0.046308440652520586
22,Caco-2,H3K4me1,MULE-MuDR,0.0032833987167367705,0.8713277478694973,-0.03643580239657507,0.04299224254214005
23,Caco-2,H3K4me1,PiggyBac,-0.012160327148310312,0.5750361150144329,-0.0546240886186296,0.030347340457929948
24,Caco-2,H3K4me1,5S-Deu-L2,-0.017095992584835466,0.4438771225639469,-0.060794042240792844,0.026667464178038492
25,Caco-2,H3K4me1,Helitron,-0.02849339265383734,0.22171511368584054,-0.074081884642725,0.017213940802541038
26,Caco-2,H3K4me1,hAT-Tag1,0.03816178051314575,0.10156111414413292,-0.007523853361583215,0.083688436411578
27,Caco-2,H3K4me1,tRNA,0.01829110894678056,0.4638601166685187,-0.030650474619704975,0.06714519529035232
28,Caco-2,H3K4me1,Penelope,-0.030360959898177494,0.4026422831164248,-0.10116522266963915,0.04074931438535236
29,Caco-2,H3K4me1,TcMar-Tc1,-0.05488785580399038,0.14744563445003203,-0.12857315244385759,0.019400161705785568
30,Caco-2,H3K4me1,Dong-R4,-0.0027717252857320106,0.9506051984475475,-0.09026540872054852,0.0847644149834748
31,Caco-2,H3K4me1,tRNA-Deu,0.046296041275935534,0.3244569495653879,-0.045827668871069586,0.13763892977410694
32,Caco-2,H3K4me1,Kolobok,0.013259106016491695,0.7909878266843291,-0.08465792310444728,0.1109224992901759
