,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
cell_line,Caco-2,Caco-2,SJCRH30,SJCRH30,SJCRH30,SJCRH30,SJCRH30,SJCRH30,BE2C,BE2C,BE2C,BE2C,SJSA1,SJSA1,SJSA1,SJSA1,SJSA1,HAP-1,HAP-1,HAP-1,HAP-1,HAP-1,HAP-1,HL-60,MG63,MG63,MG63,MG63,VCaP,VCaP,C4-2B,C4-2B,RWPE2,RWPE2,RWPE2,22Rv1,22Rv1,RWPE1,RWPE1
modification,H3K4me1,H3K9me3,H3K27ac,H3K4me1,H3K9me3,H3K36me3,H3K27me3,H3K4me3,H3K4me1,H3K9me3,H3K36me3,H3K27me3,H3K27ac,H3K9me3,H3K36me3,H3K27me3,H3K4me3,H3K27ac,H3K4me1,H3K9me3,H3K36me3,H3K27me3,H3K4me3,H3K27ac,H3K9me3,H3K36me3,H3K27me3,H3K4me3,CTCF,H3K27ac,CTCF,H3K27ac,CTCF,H3K27ac,H3K36me3,CTCF,H3K27ac,CTCF,H3K27ac
AluSx,-0.052971615022940455,0.022420733814864487,-0.009777353052193924,-0.014957054545283932,0.04268368747509723,-0.018815102164826198,0.015241733744686707,-0.037038199942157415,-0.0017909051195907498,0.02444420828522274,-0.02755412995010438,-0.00785474520527181,-0.026541646864257896,0.037960581660001755,-0.0541080518375382,-0.0008926452000299077,-0.06443242702528423,-0.05616188471655303,-0.038167231146143454,0.01444332435632661,-0.040803508844558835,-0.01139992988516228,-0.07537091613002404,-0.04102180620894112,0.03552247249378025,-0.04460576856019784,0.013711485626115582,-0.049180925268860275,-0.02632088995511935,-0.10063689643128541,0.13646919026363857,-0.0003290961679535419,-0.06440883548959955,-0.08988446536435346,-0.033183464962707625,-0.05721480323783887,-0.07514342549928367,-0.024902197908475306,-0.21772775998065033
AluJb,-0.03868421877775988,0.028374613727872616,-0.00229872059750013,-0.006217761876856154,0.08411617687289244,-0.005981458844528003,0.0057818007127763,0.0010397575389513207,0.006137002753283721,0.022137027190211708,-0.028844858308143217,-0.022128024059558063,-1.638550414705075e-05,0.04005439095374474,-0.060858641154932204,0.007017560147757454,-0.053504134646169835,-0.046328058010809414,-0.024799671013342232,0.013345822418493894,-0.04848124133809702,-0.029196539380044625,-0.070161123844732,-0.03451504612115486,0.03495618476417824,-0.05392290634309473,-0.0026315114649208267,-0.033341252660818374,-0.03560289912110545,-0.1181502676714197,0.2180537623599332,-0.008754304364084125,-0.050615880138676565,-0.0830081385772303,-0.019170422193575388,-0.06905201388804957,-0.08191505110786301,-0.007693666431474159,-0.3232784741989078
MIRb,-0.02880747636823289,0.029478384572614664,-0.006371804454511032,-0.018499642732895054,0.010188967592468602,-0.021886034642220584,0.004901034401065022,-0.029065332949987078,-0.013195351127127868,-0.0031929821838063647,-0.03452346107042556,-0.013786941511003493,-0.023221265364046298,0.0038037471118830025,-0.05993330945232634,-0.013010261004897935,-0.05486185792121852,-0.023059765215895096,-0.020018805224881153,-0.0033288097057856763,-0.04035920557250127,-0.006737058039095181,-0.04552465962916743,-0.031772055316087566,0.004295790961918431,-0.053079227556191606,-0.002921904910969182,-0.02632991036953212,-0.011958774436168032,-0.07082515040889135,0.07750855509993547,-0.071239318704819,-0.009497830191906326,-0.03550737380653459,-0.012242908858991666,-0.04658111783043702,-0.053517478710291354,0.09343104278908924,-0.06641066156298403
MIR,-0.03449360383052293,0.024165051112889028,0.002921048419254041,-0.020163726019339266,-0.008147920460629877,-0.0399986909793276,0.018739065200715735,-0.02811865656122131,-0.01499591960524507,0.0013234141923978517,-0.04605824142442243,-0.015009414684014646,-0.03675091135011551,0.029571868380611408,-0.06207476409921505,-0.013180332979993145,-0.03766513396774657,-0.021039916006947566,-0.027596228654892165,0.013656099335555848,-0.04177045515163267,0.0007956261816565733,-0.026515544743628962,-0.034205423715449726,0.0042506911763709595,-0.05996083202123489,0.008547659206107696,-0.02270606214562717,0.016363014815536286,-0.053228223329724655,0.05010950523759958,-0.043022117212897025,-0.0026380936237545734,-0.03908950356429,-0.041620957823581065,-0.015280719714333982,-0.026512149750935562,0.08410531763290928,-0.021190774523663043
AluY,-0.03153496209097831,0.007900514724508576,-0.00029201558613489384,0.0099918246946218,0.012966151128696288,0.0015189492612109907,0.010425607692749597,-0.019894607641149344,0.012291575413527307,0.02169934653388718,-0.0018891411407771918,-0.010955245460293642,-0.02258342529826743,0.02222500107750296,-0.04334956573947906,-0.01727406681173292,-0.04116434841340203,-0.02788598415921149,-0.013945810851316342,0.0031182218976650166,-0.015467451668423919,-0.01378319096101486,-0.04699988208851548,-0.019476703276684836,0.03642918969856306,-0.03293679335312037,-0.023578395479247803,-0.038441409578037836,-0.033568341513237274,-0.07751530181117781,0.14376758612180818,0.022637392053669964,-0.05479083022492087,-0.07504583391397557,-0.009251392284882741,-0.05182346240944957,-0.04286290231896302,0.005916688547486437,-0.1593564541100241
L2a,-0.056817614228611237,0.04981557861734412,-0.023053439647869357,-0.03792907684267214,0.030300739073875885,-0.04861744559052488,0.023210340899779837,-0.041830885807995426,-0.018156266088037356,0.026984485915940878,-0.05560597352390591,-0.0339917541318213,-0.0519725114735136,0.07343989504372266,-0.08218099467922425,-0.010068726597339352,-0.06704098220045698,-0.0645735129312913,-0.04725398229414668,0.021551645911547592,-0.06845183694965946,-0.024642532498760705,-0.0669755323107635,-0.05005528489041279,0.02227377486975715,-0.08185209137787501,0.005740129828650695,-0.04654014401954801,-0.010734328067700551,-0.09930694419459066,0.08794159114759173,-0.09682254824691082,-0.01970278155068361,-0.07350492728843436,-0.038650839798490114,-0.06587707879475183,-0.07269274272643184,0.1019060048091241,-0.09320703761998696
L2c,-0.041717088648989216,0.03747726114708885,-0.011111963643315237,-0.022626108478846454,0.06582165121614099,-0.0039908957765895595,-0.0036728965377355763,-0.029202929833924453,-0.00983394154333227,0.01447553283491492,-0.029731040793869633,-0.018627945119015887,-0.02152468921219678,0.019666819038481408,-0.050943376639155116,-0.007156591793825993,-0.062027736867969654,-0.050881500456403356,-0.018969645694623713,-0.015784864485669434,-0.04933430160464365,-0.0217986760507898,-0.06858147450670395,-0.028575597566791122,0.029581357599698935,-0.0488565185743743,-0.00978854235372879,-0.040257411063381945,-0.03587006850897367,-0.09362955167889064,0.11449982685752726,-0.10355196376677378,-0.007613607640589594,-0.04669486494179105,-0.0006056234579754551,-0.0800115603490299,-0.07011625964910988,0.09365003065862326,-0.12088702314702157
MIRc,-0.020912149673276238,0.020486169222717027,-0.008895788275586226,-0.01448158105140406,0.02983738527286032,-0.008850513003882843,0.0016036568986034182,-0.02830804097264112,-0.013537723493233556,-0.002759475190550677,-0.03549365662470795,-0.009821341231973568,-0.01515739462821461,0.006160767340645206,-0.04770291848187502,0.0023143673689227243,-0.04798384011201938,-0.030181283410673432,-0.015298256877295134,-0.00941998755906398,-0.03550781052691758,-0.0028150779187849995,-0.047385423274216534,-0.029074619149968145,0.0030222930236485255,-0.05354958270918461,-0.007408835409435999,-0.028908947240914733,-0.025946406268482065,-0.06879759642844466,0.08099886995816569,-0.06867161365943492,-0.013621100805271149,-0.033513230273270654,-0.0007644065350665462,-0.04998084356807404,-0.05158439218859613,0.07058161873231827,-0.08959228690038899
MIR3,-0.024053521488889965,0.029247868299672283,-0.009209611689549525,-0.013668287639828029,0.0527425970786989,0.006422353489398376,-0.010708302816760102,-0.022330186916762754,-0.011301758978528397,-0.0024911464780130194,-0.02255185568162802,-0.005060569029260166,-0.0068366875932911984,-0.0060307178119215835,-0.049757526434756776,0.0041856757135063935,-0.060351304726290474,-0.026409147630598262,-0.010706313685856983,-0.020397648992678,-0.0401405455372311,-0.01418380525429406,-0.056017730114074724,-0.028627940372685932,0.01663043031018522,-0.04541450026719769,-0.004171288500427442,-0.028367264463313946,-0.04171913489619422,-0.08775477776035696,0.11031128253488973,-0.09638898060781625,-0.015020413013311548,-0.03666460479057908,0.015673144065691067,-0.06437641183340548,-0.07231443535822744,0.08828161464474969,-0.13338114906427737
L2b,-0.03757966477792521,0.04760592810137744,-0.0159074823937589,-0.028710743679043648,0.06998679998467651,-0.017278094480545965,0.00651917513199265,-0.035163077830532116,-0.017918099685349832,0.02857259107154249,-0.042728415357177314,-0.013805616057204791,-0.029003092981745995,0.030507475775493818,-0.06528212894349655,-0.0002909104076843642,-0.06814089643333612,-0.0617336972042911,-0.027256009156457452,0.004163289702017835,-0.06123626707568244,-0.01265921253886362,-0.07223086525604862,-0.039683925172839585,0.04156636955434389,-0.06195254843201266,5.0659256091010835e-05,-0.043791234430401324,-0.04140912687022919,-0.09400212812608773,0.1012369174093352,-0.09366809321419638,-0.02591544081513474,-0.04903972679956598,-0.015582890476112658,-0.08188585367986292,-0.07275258013526079,0.08120003312305364,-0.12276485507314054
AluSx1,-0.06003377868028139,0.04157259549216875,-0.0028850443135667327,-0.013476856297310246,0.044128382897582884,-0.02484666081662698,0.029773851981699778,-0.04727018771948936,0.009574442971102892,0.039770072940250235,-0.02794807901231481,0.005687991353332064,-0.03545192386198728,0.043859957351473224,-0.06538978079086388,-0.007092077333881039,-0.06749563209531233,-0.060815771873697105,-0.040918571794199214,0.025620214234504793,-0.05164985426613175,-0.003827379783832031,-0.07261649563675761,-0.048618875763077204,0.05258684333655312,-0.049876182862112824,0.029976994526805974,-0.04996947416778871,-0.027561742290967275,-0.11231995820698734,0.11415378631829291,-0.014468467501516372,-0.0607255063396446,-0.09880408792054524,-0.03987544339117675,-0.06683319696512988,-0.0882754255720585,-0.02930538420486972,-0.2116305618773223
