,cell_line,modification,individual_name,r,p_value,ci_low,ci_high
0,Caco-2,H3K4me1,AluSx,-0.05297161502294047,1.867868940226527e-181,-0.0565776801896881,-0.04936416779552691
1,Caco-2,H3K4me1,AluJb,-0.03868421877775989,5.481064550209434e-82,-0.042632304069210133,-0.034734925338276
2,Caco-2,H3K4me1,MIRb,-0.028807476368232905,8.232433449500719e-39,-0.03313733104840944,-0.024476540376476952
3,Caco-2,H3K4me1,MIR,-0.034493603830522974,2.377824911703616e-41,-0.039507582876436964,-0.029477887779648618
4,Caco-2,H3K4me1,AluY,-0.03153496209097833,3.077889306927266e-24,-0.03761427715883207,-0.025453312864163836
5,Caco-2,H3K4me1,L2a,-0.05681761422861124,7.334026557646308e-75,-0.06288380647855094,-0.050747223905040884
6,Caco-2,H3K4me1,L2c,-0.04171708864898924,1.7393473828655688e-34,-0.048382582586516544,-0.035047879298054356
7,Caco-2,H3K4me1,MIRc,-0.020912149673276238,2.3706695517718584e-09,-0.027774182274160255,-0.014048146243549546
8,Caco-2,H3K4me1,MIR3,-0.024053521488889958,1.784997130440969e-11,-0.031061962700761784,-0.017042715177553906
9,Caco-2,H3K4me1,L2b,-0.03757966477792522,1.030988953590421e-24,-0.04474653590761803,-0.030408925615187293
10,Caco-2,H3K4me1,AluSx1,-0.06003377868028144,1.3063065585368757e-43,-0.06850307809169537,-0.05155582695730523
11,Caco-2,H3K4me1,AluSz,-0.045233156880531505,1.2772476081800894e-22,-0.054273598990445135,-0.03618529975976011
12,Caco-2,H3K4me1,L2,-0.03704309731400189,5.9201192663779205e-15,-0.04633147671406472,-0.027748313005950105
13,Caco-2,H3K4me1,AluSp,-0.03956354610980146,8.597280641114141e-15,-0.04954226064694683,-0.029576933914834416
14,Caco-2,H3K4me1,L2d2,-0.030922163932281414,2.7789301179433496e-09,-0.041107314826265826,-0.020730587283058828
15,Caco-2,H3K4me1,AluSg,-0.036781140391634645,1.81104618716621e-11,-0.04749253654521465,-0.02606128603539557
16,Caco-2,H3K4me1,FLAM_C,-0.018046822353162243,0.0012059538208951204,-0.02896720076692225,-0.007122136503222666
17,Caco-2,H3K4me1,L1M5,-0.03443490701392972,8.128550097546802e-10,-0.04540838414915317,-0.023453120636077338
18,Caco-2,H3K4me1,MER5A,1.0622410239023803e-05,0.9985120933867655,-0.011153403281393791,0.01117464545401429
19,Caco-2,H3K4me1,AluSz6,-0.03623158370547039,2.6360314861092865e-10,-0.04745387103513106,-0.02500015094130532
20,Caco-2,H3K4me1,L3,-0.04084306674094134,2.09872975279828e-12,-0.052213797423116146,-0.029461747071877462
21,Caco-2,H3K4me1,AluSq2,-0.0458244896809455,5.0815964788261965e-15,-0.057278029077854,-0.03435888945757471
22,Caco-2,H3K4me1,AluSc,-0.04629763745531673,1.899056677485823e-12,-0.059154997244022914,-0.03342491937967561
23,Caco-2,H3K4me1,L2d,-0.0253570310112022,0.0001275816791674768,-0.03831847039721891,-0.012387060625082642
24,Caco-2,H3K4me1,MER5B,-0.011457741190563421,0.08549552122903728,-0.024512794496582526,0.0016012193841867404
25,Caco-2,H3K4me1,L1ME4a,-0.028986901777472974,2.6208361202887906e-05,-0.0424861049128523,-0.015477116991352612
26,Caco-2,H3K4me1,AluSx3,-0.03256392492921382,5.602383039164534e-06,-0.04660107133248556,-0.018513920247880254
27,Caco-2,H3K4me1,AluSc8,-0.02272245349664484,0.0019074084534077343,-0.037057802056648464,-0.008377754988774123
28,Caco-2,H3K4me1,THE1B,-0.004858593373594423,0.5082716341554309,-0.019251417936697483,0.009536244466868855
29,Caco-2,H3K4me1,MLT1A0,-0.027240068349002385,0.0005857568465295651,-0.04275254066887639,-0.011714465263104837
30,Caco-2,H3K4me1,MER20,-0.037424063755121306,3.493943166070687e-06,-0.0532071906036735,-0.02162224344248148
31,Caco-2,H3K4me1,AluJo,-0.01953954632275293,0.016124088914274165,-0.03544554411317977,-0.003623651561483237
32,Caco-2,H3K4me1,L1ME4b,-0.047724521734442436,6.040825720408595e-09,-0.06376757581302563,-0.0316568070905193
33,Caco-2,H3K4me1,MSTA,-0.03461832316128632,3.105293408374505e-05,-0.050881663062294365,-0.01833662776232288
34,Caco-2,H3K4me1,FRAM,-0.025144005403988198,0.002555785853085533,-0.04146479294386778,-0.00880980325101015
35,Caco-2,H3K4me1,AluJr,-0.01878185958111755,0.02404999826020611,-0.035086271826611275,-0.0024674519795691726
36,Caco-2,H3K4me1,AluSq,-0.03137443137877163,0.00019193882029116776,-0.04784119493487171,-0.014890618800043427
37,Caco-2,H3K4me1,L1ME3G,-0.04879509042261394,4.748716001216824e-09,-0.06508385623649915,-0.03248032838193744
38,Caco-2,H3K4me1,MER5A1,-0.02388901681991377,0.004369625676652925,-0.040302026809751326,-0.007463118592011139
39,Caco-2,H3K4me1,MLT1D,-0.06088271075382144,5.137120835784937e-13,-0.07734266773441974,-0.04438957435894956
40,Caco-2,H3K4me1,L1ME1,-0.08622434955431857,1.0545827312786494e-24,-0.10257753183408548,-0.06982457208959503
41,Caco-2,H3K4me1,L1MC4,-0.07493656214217408,9.079423495643624e-19,-0.09144828572320188,-0.05838364433224923
