,cell_line,modification,individual_name,r,p_value,ci_low,ci_high
0,Caco-2,H3K4me1,AluSx,0.0010201260691425724,0.5804043947879496,-0.0025967885835981737,0.004637014031327938
1,Caco-2,H3K4me1,AluJb,-0.0018763786171806002,0.3523923465466419,-0.005830942568907547,0.0020782440234033517
2,Caco-2,H3K4me1,MIRb,-0.0018020251520758158,0.4151137756441541,-0.0061359691517383925,0.0025319865439952724
3,Caco-2,H3K4me1,MIR,-0.002916074352950534,0.25498081643457476,-0.007936779364635799,0.0021047776780548015
4,Caco-2,H3K4me1,AluY,0.0008359758797872972,0.7877793861535761,-0.005250585537318319,0.0069224753579707025
5,Caco-2,H3K4me1,L2a,-0.0012986708116602007,0.6758794769165638,-0.0073865563243919454,0.004789310966340432
6,Caco-2,H3K4me1,L2c,-0.0038638845180164983,0.2568539099404307,-0.010542587097351676,0.002815162781921208
7,Caco-2,H3K4me1,MIRc,0.0038076328229498663,0.27707597354443275,-0.003058467643641685,0.010673374294083375
8,Caco-2,H3K4me1,MIR3,-0.0016485861945345743,0.6450214190947918,-0.008662167517945971,0.0053651573220430925
9,Caco-2,H3K4me1,L2b,-0.006084523677817275,0.09668076014426524,-0.013262887300659318,0.0010944670807015724
10,Caco-2,H3K4me1,AluSx1,0.002721495322266188,0.5305235930643194,-0.005782911742794594,0.011225508738663943
11,Caco-2,H3K4me1,AluSz,0.00048746629757307966,0.9160419743091178,-0.008575262295291767,0.009550114816939247
12,Caco-2,H3K4me1,L2,-0.009124786323055134,0.054588822016945794,-0.018427569912454693,0.0001795770166211091
13,Caco-2,H3K4me1,AluSp,-0.004755004996345078,0.3512840847799198,-0.014752615530654524,0.005243556196421653
14,Caco-2,H3K4me1,L2d2,-0.001939700373660082,0.7093131054933931,-0.012137574270172374,0.008258576984943766
15,Caco-2,H3K4me1,AluSg,-0.0007137709711808684,0.8962711915285809,-0.011443823204630606,0.010016445623514099
16,Caco-2,H3K4me1,FLAM_C,0.0005732555444055132,0.9180982961825706,-0.01035289950180293,0.011499273720799064
17,Caco-2,H3K4me1,L1M5,0.011109645683709138,0.04757118317899143,0.0001189977104663435,0.022097610016382725
18,Caco-2,H3K4me1,MER5A,-0.011542516780778351,0.04272256962596344,-0.02270361554053332,-0.000378541190987945
19,Caco-2,H3K4me1,AluSz6,0.009941687223675371,0.08304112985079526,-0.0013000734371876905,0.021180935392967108
20,Caco-2,H3K4me1,L3,-0.005029840973709434,0.38697502131335126,-0.016423931035558396,0.006365555272010472
21,Caco-2,H3K4me1,AluSq2,-0.003301145938270858,0.573161945244618,-0.01478426651009711,0.008182845300847912
22,Caco-2,H3K4me1,AluSc,-4.58531539288536e-05,0.9944385039110802,-0.01293851491958338,0.012846823855232926
23,Caco-2,H3K4me1,L2d,-0.002587210578070974,0.6959244453346555,-0.015560733779221266,0.010387183606126837
24,Caco-2,H3K4me1,MER5B,-0.008860630742193445,0.1835696308491487,-0.02191681577500133,0.004198576063553736
25,Caco-2,H3K4me1,L1ME4a,-0.007931966971048149,0.25006384123862296,-0.021445516306744985,0.005584480176604017
26,Caco-2,H3K4me1,AluSx3,-0.0012254906998595111,0.8643473160192385,-0.01528370772497132,0.0128332107386199
