,cell_line,modification,family_name,r,p_value,ci_low,ci_high
0,Caco-2,H3K4me1,Alu,-0.007526546050460465,3.313200306507974e-15,-0.009398870649752122,-0.005654168676581057
1,Caco-2,H3K4me1,L1,0.04713690790244627,1.5815377368495734e-133,0.04338348877159609,0.05088899640348244
2,Caco-2,H3K4me1,MIR,0.008047859221506942,0.21903744946991116,-0.004785956543544909,0.02087902428771722
3,Caco-2,H3K4me1,L2,-0.016559360658788044,0.02846778895748678,-0.03136753142354307,-0.0017439219998648771
4,Caco-2,H3K4me1,ERVL-MaLR,0.045272845122240224,6.0114014391244775e-62,0.03993456093053926,0.05060854496042426
5,Caco-2,H3K4me1,hAT-Charlie,0.029608879387147808,2.3572514376929268e-17,0.02276284893052414,0.03645213310935945
6,Caco-2,H3K4me1,ERV1,-0.013571902601257417,8.779037717300475e-05,-0.020352809925983456,-0.006789746725468319
7,Caco-2,H3K4me1,ERVL,0.04103982515236866,1.416049644851265e-15,0.030969771745264434,0.05110154804720149
8,Caco-2,H3K4me1,TcMar-Tigger,-0.02772249205175479,2.1955387480724024e-12,-0.03545615867861702,-0.01998550530732429
9,Caco-2,H3K4me1,hAT-Tip100,-0.015264155345674945,0.054426583601962356,-0.030811760674786522,0.00029083475762038344
10,Caco-2,H3K4me1,CR1,0.03257918877266121,0.16243984543605794,-0.013149842397147685,0.07817222524176998
11,Caco-2,H3K4me1,Gypsy,0.0828613811701028,0.014438705360927439,0.01641072938304323,0.14858327446558492
12,Caco-2,H3K4me1,hAT-Blackjack,-0.011578192353811953,0.28480214708217816,-0.03278531345324162,0.009639349658524324
13,Caco-2,H3K4me1,TcMar-Mariner,0.003269228102163582,0.7309684042142303,-0.015365523074279817,0.021901709026203038
14,Caco-2,H3K4me1,RTE-X,-0.01618790234065304,0.7084589376417875,-0.1007473878505434,0.06860377661634583
15,Caco-2,H3K4me1,ERVK,0.09540707006237235,5.665439787552568e-16,0.07236888672887765,0.11834349837543531
16,Caco-2,H3K4me1,TcMar-Tc2,0.02137818491448899,0.3505346352761758,-0.023513180308057356,0.06618351183752649
17,Caco-2,H3K4me1,SVA,-0.0759810964959237,2.5688143985594104e-06,-0.10747251406867948,-0.044337368400112466
18,Caco-2,H3K4me1,RTE-BovB,-0.025012100260514765,0.6320015548871185,-0.12679615581361334,0.07729318572379172
19,Caco-2,H3K4me1,tRNA-RTE,-0.04038773777588483,0.5967174384397682,-0.188086759181911,0.10909762642046539
20,Caco-2,H3K4me1,hAT-Ac,-0.030622785689313575,0.4707438602004237,-0.11343247348870816,0.052609429380028674
21,Caco-2,H3K4me1,hAT,0.04925512801471206,0.23585717052192998,-0.03226696141326972,0.1301261818084625
22,Caco-2,H3K4me1,MULE-MuDR,-0.07615839673756811,0.001524432899836952,-0.12291290162366958,-0.029066571096481402
23,Caco-2,H3K4me1,PiggyBac,-0.06840839547123419,0.004185167886848363,-0.11493891435202014,-0.02157834747763826
24,Caco-2,H3K4me1,5S-Deu-L2,-0.10703257144633721,0.06972131626210142,-0.22020771679846057,0.008985909849296817
25,Caco-2,H3K4me1,Helitron,-0.11624815858246197,0.2494130929725896,-0.30629480481975346,0.08270990420034491
26,Caco-2,H3K4me1,hAT-Tag1,-0.012345088295868282,0.915707437633228,-0.23714885362434182,0.21371359449327748
27,Caco-2,H3K4me1,tRNA,-0.12340904224021744,0.19282952610066967,-0.30191627029294943,0.06345868452652012
28,Caco-2,H3K4me1,Penelope,0.03755732711981213,0.6351487027498144,-0.11737158333383063,0.19070151512444952
29,Caco-2,H3K4me1,TcMar-Tc1,0.06675649120783987,0.33686844353646395,-0.06973989909804759,0.2007991478657355
30,Caco-2,H3K4me1,Dong-R4,-0.010989010989010988,0.971577682777073,-0.5586050310382239,0.5432989569729706
31,Caco-2,H3K4me1,tRNA-Deu,-0.3266679779621373,0.00791041694440209,-0.5331698392790418,-0.0834292871913006
32,Caco-2,H3K4me1,Kolobok,0.09302090198663328,0.5732724513919023,-0.22989247369236426,0.39748389638227294
