,cell_line,modification,family_name,r,p_value,ci_low,ci_high
0,Caco-2,H3K4me1,Alu,-0.0006059628013882674,0.5248918149534256,-0.0024738767507665807,0.0012619553765338485
1,Caco-2,H3K4me1,L1,-0.001384083653268589,0.315425147988765,-0.004086271820122885,0.001318124726437486
2,Caco-2,H3K4me1,MIR,-0.0013808160380733387,0.3210701440494151,-0.0041082547773058945,0.001346643244918944
3,Caco-2,H3K4me1,L2,-0.00014098796643091947,0.9329134835459432,-0.0034236095471299036,0.003141636652732052
4,Caco-2,H3K4me1,ERVL-MaLR,6.793390129139334e-05,0.9730005660161509,-0.003866076039420727,0.00400194173925552
5,Caco-2,H3K4me1,hAT-Charlie,0.0003642225097079303,0.8644244172344888,-0.003816640396279741,0.004545072682794466
6,Caco-2,H3K4me1,ERV1,0.000858658082755764,0.7798842770170175,-0.005163210325269896,0.0068804642165166425
7,Caco-2,H3K4me1,ERVL,-0.0019065375285889491,0.5420383644428637,-0.008034881861938153,0.004221950014778284
8,Caco-2,H3K4me1,TcMar-Tigger,-0.0028378065153703332,0.372186721665848,-0.00907034197340584,0.0033949494185800534
9,Caco-2,H3K4me1,hAT-Tip100,0.006093889794136747,0.16000901536734116,-0.0024069069123013646,0.014593805826959147
10,Caco-2,H3K4me1,CR1,0.0014871600073149635,0.7527783078497232,-0.007766658918574873,0.010740724239215937
11,Caco-2,H3K4me1,Gypsy,0.005664472124271,0.4783357999390544,-0.009994940355242062,0.02132110695544882
12,Caco-2,H3K4me1,hAT-Blackjack,-0.005570142697720719,0.4948717874874279,-0.02156149292753376,0.010424056958465875
13,Caco-2,H3K4me1,TcMar-Mariner,0.0064491530302203115,0.43289337904785385,-0.009668508927434325,0.022563464835603706
14,Caco-2,H3K4me1,RTE-X,0.014753410472006363,0.15213436631989036,-0.005440577503306626,0.03493537019887327
15,Caco-2,H3K4me1,ERVK,-0.0028926326076832687,0.8060102109302106,-0.02597402234689245,0.020191839672174878
16,Caco-2,H3K4me1,TcMar-Tc2,-0.001954031354168104,0.8746624505052312,-0.02622853595837917,0.022322776309420596
17,Caco-2,H3K4me1,SVA,0.013220689605446045,0.355670994779935,-0.01483548029913539,0.04125605800919689
18,Caco-2,H3K4me1,RTE-BovB,-0.0030041539793039503,0.8388677574890588,-0.031951307556297714,0.02594803510668088
19,Caco-2,H3K4me1,tRNA-RTE,0.02801779807707921,0.0811811521349281,-0.003478848143655493,0.05945890923737777
20,Caco-2,H3K4me1,hAT-Ac,-0.012301883623709434,0.4981093947987182,-0.04786180292438978,0.023289179295018475
21,Caco-2,H3K4me1,hAT,0.0086273223352366,0.6546285513445418,-0.029168516678047287,0.046398526881434865
22,Caco-2,H3K4me1,MULE-MuDR,-0.01327749353589717,0.5242137538126588,-0.05409528997811101,0.02758460179709622
23,Caco-2,H3K4me1,PiggyBac,-0.03180286140123998,0.14649583852729242,-0.07462952612891813,0.011140901472472006
24,Caco-2,H3K4me1,5S-Deu-L2,0.016017596718248997,0.4872788287140556,-0.029178845826844397,0.061148678249112465
25,Caco-2,H3K4me1,Helitron,0.006233421306262022,0.7983688309232009,-0.04157544594687026,0.05401380911737265
