,cell_line,modification,individual_name,r,p_value,ci_low,ci_high
0,Caco-2,H3K4me1,AluSx,-0.023679578926350555,1.919610511818754e-37,-0.027307579753560816,-0.020050954282462848
1,Caco-2,H3K4me1,AluJb,-0.015137597316009607,1.7823596960313646e-13,-0.01916571693130355,-0.011108986290514348
2,Caco-2,H3K4me1,MIRb,-0.008808805960776421,0.5915516095750946,-0.04096487501961303,0.02336549167506895
3,Caco-2,H3K4me1,MIR,-0.008666744154419637,0.5822090262470963,-0.039524960344025376,0.022207987568562175
4,Caco-2,H3K4me1,AluY,-0.012174266119013264,9.1708100398895e-05,-0.018273480934372848,-0.006074145259153593
5,Caco-2,H3K4me1,L2a,-0.034546312513857626,0.03163044264536637,-0.06599159220913202,-0.003032482898159515
6,Caco-2,H3K4me1,L2c,0.019598941138383043,0.35052926096365045,-0.02155453704560053,0.06068611493411156
7,Caco-2,H3K4me1,MIRc,0.034158042760226555,0.13990067315922838,-0.011213880099117059,0.07938960065407667
8,Caco-2,H3K4me1,MIR3,0.01660216178454933,0.47318111396219076,-0.028763956551471258,0.06190002681117356
9,Caco-2,H3K4me1,L2b,0.004318789102441254,0.8356504387864481,-0.03647121591203781,0.04509442749638487
10,Caco-2,H3K4me1,AluSx1,-0.02747609463119872,2.7007968846348076e-10,-0.03599830426319055,-0.018949889040416223
11,Caco-2,H3K4me1,AluSz,-0.02610578884984583,1.9044129027489465e-08,-0.03520390518550677,-0.017003345659026017
12,Caco-2,H3K4me1,L2,0.10681842513171212,0.07177665280067154,-0.009818798286647648,0.22058801665614405
13,Caco-2,H3K4me1,AluSp,-0.0213643744771733,3.159947876964266e-05,-0.03142144038177048,-0.011302982958243026
14,Caco-2,H3K4me1,L2d2,0.0273401851635664,0.3947661717375186,-0.03564529067909072,0.09010931805913834
15,Caco-2,H3K4me1,AluSg,-0.017721149765346503,0.0012783302538107008,-0.02850096648190419,-0.00693721162699596
16,Caco-2,H3K4me1,FLAM_C,0.005576284422900384,0.35154900375433806,-0.00615577654765143,0.017306810492986806
17,Caco-2,H3K4me1,L1M5,0.050601384840611295,0.20830936737201067,-0.028303470881329063,0.12887955422573602
18,Caco-2,H3K4me1,MER5A,-0.01067705254277891,0.45863507782133917,-0.038898306340209014,0.01756122069709146
19,Caco-2,H3K4me1,AluSz6,-0.01618335011959747,0.005235135989004907,-0.027539172556388852,-0.004823351215699925
20,Caco-2,H3K4me1,L3,-0.01929917083092271,0.6671449452341466,-0.10690466958710759,0.06860367573114962
21,Caco-2,H3K4me1,AluSq2,-0.019380889360069417,0.0009889075396148134,-0.030908740868095964,-0.007847882506477727
22,Caco-2,H3K4me1,AluSc,-0.011919751000986844,0.07128266776058713,-0.024868867710358494,0.001033364909870063
23,Caco-2,H3K4me1,L2d,-0.018949765417446644,0.6182337142230783,-0.09324758639666056,0.05555793362250791
24,Caco-2,H3K4me1,MER5B,0.03731500664976957,0.16183426423583996,-0.014992310470232936,0.08941864341669839
25,Caco-2,H3K4me1,L1ME4a,0.014531762677862926,0.7312662641656891,-0.06833681129767726,0.09720118917893263
26,Caco-2,H3K4me1,AluSx3,-0.01956462632377695,0.0070067477434751745,-0.033777696899121946,-0.005343643765564583
27,Caco-2,H3K4me1,AluSc8,-0.006958813157671266,0.3445206084121576,-0.021384902633468362,0.0074701734659497615
28,Caco-2,H3K4me1,THE1B,0.006129246350811449,0.4041402182919891,-0.008270838748937125,0.02052678985263878
29,Caco-2,H3K4me1,MLT1A0,0.0025223891150740886,0.8123517304147833,-0.018301542377944922,0.023344133225892887
30,Caco-2,H3K4me1,MER20,-0.035637433783073096,0.010470423668108807,-0.06287368813830024,-0.008348136428919416
31,Caco-2,H3K4me1,AluJo,-0.007869242118204825,0.3434428932502276,-0.024145507856189765,0.008411194335733672
32,Caco-2,H3K4me1,L1ME4b,-0.07922376597957206,0.1491528931981762,-0.18528662396674403,0.02866363428333646
33,Caco-2,H3K4me1,MSTA,-0.023218808852398774,0.006767566025547244,-0.0400110467038219,-0.00641345926313643
