,cell_line,modification,individual_name,r,p_value,ci_low,ci_high
0,Caco-2,H3K4me1,AluSx,-0.023650976905114914,2.2415035972964376e-37,-0.027278017882775757,-0.02002331319491216
1,Caco-2,H3K4me1,AluJb,-0.015780932360226558,8.63643553465978e-15,-0.019767092242876993,-0.011794270788196759
2,Caco-2,H3K4me1,MIRb,0.001902028990591034,0.8738716206043623,-0.021579475294658926,0.02538143597013619
3,Caco-2,H3K4me1,MIR,0.0018547512450806825,0.8654517034232314,-0.019598071653289174,0.02330586707279706
4,Caco-2,H3K4me1,AluY,-0.012141632563692514,9.538528794870135e-05,-0.018239316673280007,-0.006043045292899504
5,Caco-2,H3K4me1,L2a,-0.024009501524104828,0.05313447848450012,-0.048318428878846666,0.0003278509758027382
6,Caco-2,H3K4me1,L2c,-0.009626754769574123,0.5585528256716279,-0.04185982439180845,0.022626332964832668
7,Caco-2,H3K4me1,MIRc,-0.003458231540447124,0.8410401953631395,-0.03723862519304658,0.030330056530759427
8,Caco-2,H3K4me1,MIR3,0.036204601891425034,0.035941605705869295,0.0023665189620873145,0.06995986949534777
9,Caco-2,H3K4me1,L2b,-0.010340239247755269,0.5229980063079811,-0.042048893865586946,0.02138922419537794
10,Caco-2,H3K4me1,AluSx1,-0.027499256192801556,2.6053006330848354e-10,-0.0360211333224129,-0.018973380041384214
11,Caco-2,H3K4me1,AluSz,-0.025688117879864043,3.147621927930282e-08,-0.03478229713012866,-0.016589684809955357
12,Caco-2,H3K4me1,L2,-0.011126701092778041,0.8043772118947499,-0.09889936344254807,0.07681775919510969
13,Caco-2,H3K4me1,AluSp,-0.021376014761517,3.060982286509543e-05,-0.03142103814901474,-0.01132667376053772
14,Caco-2,H3K4me1,L2d2,-0.006310609128495997,0.8033207308697956,-0.05592387829162292,0.043333747570895996
15,Caco-2,H3K4me1,AluSg,-0.017656660786624593,0.0013221971152808383,-0.028429657527256163,-0.006879562832819958
16,Caco-2,H3K4me1,FLAM_C,0.002844862546912378,0.6243040278689975,-0.00853989109282852,0.014228878768301737
17,Caco-2,H3K4me1,L1M5,0.0398326218955916,0.12132689132696063,-0.010587403272311795,0.09005061471459207
18,Caco-2,H3K4me1,MER5A,0.004323031726315935,0.7040013126310545,-0.01797768673136322,0.026619451054633758
19,Caco-2,H3K4me1,AluSz6,-0.015351855553402644,0.007941647457778221,-0.02668310647537334,-0.004016660057421542
20,Caco-2,H3K4me1,L3,-0.0015103393287112185,0.9663216849492706,-0.07152108048568998,0.06851521086201412
21,Caco-2,H3K4me1,AluSq2,-0.018980136471112012,0.0012524304341262251,-0.030504185165681298,-0.0074510424872715674
22,Caco-2,H3K4me1,AluSc,-0.012482812666236536,0.05876982743146533,-0.025424639467415005,0.00046319765309879715
23,Caco-2,H3K4me1,L2d,-0.015725865329900363,0.6023617811382761,-0.07476692031541153,0.0434250567379813
24,Caco-2,H3K4me1,MER5B,0.021001475217790156,0.2787317795488255,-0.017007204087553886,0.058949544582868926
25,Caco-2,H3K4me1,L1ME4a,0.0023058320875681444,0.9383940481347541,-0.05612205517153882,0.06071798012170762
26,Caco-2,H3K4me1,AluSx3,-0.018596610863636294,0.010318466943321586,-0.032799809236521135,-0.0043859029066383465
27,Caco-2,H3K4me1,AluSc8,-0.007085210469531825,0.3354618087639363,-0.021500323506703695,0.007332847866601372
28,Caco-2,H3K4me1,THE1B,0.006088844831612687,0.40718220684623807,-0.008309294382278742,0.020484459881339654
29,Caco-2,H3K4me1,MLT1A0,-0.015408097464098547,0.08827002963369787,-0.03311608799691185,0.002309563766356193
30,Caco-2,H3K4me1,MER20,-0.03243081093000308,0.0031839710551300015,-0.0539530118298489,-0.010878492073674185
31,Caco-2,H3K4me1,AluJo,-0.006695989912142609,0.4185837319478506,-0.022917481648493308,0.009529026670617606
32,Caco-2,H3K4me1,L1ME4b,-0.023968809375331294,0.5356873018500334,-0.09954364923696285,0.051880982981005505
33,Caco-2,H3K4me1,MSTA,-0.023211408943351754,0.006331463550506371,-0.03986290440154141,-0.006547024816545165
34,Caco-2,H3K4me1,FRAM,-0.002860797548235988,0.7397348885320602,-0.019736965767361107,0.014017000380788494
35,Caco-2,H3K4me1,AluJr,-0.0062559870664858795,0.4616516938943802,-0.022909407536191972,0.010400904288309884
36,Caco-2,H3K4me1,AluSq,0.00011666396256341333,0.9890008233979382,-0.01646849861846205,0.01670176236287983
