,cell_line,modification,individual_name,r,p_value,ci_low,ci_high
0,Caco-2,H3K4me1,AluSx,0.0013587546376675546,0.46295783094674914,-0.0022695363040384393,0.004987009805022538
1,Caco-2,H3K4me1,AluJb,0.002582827668943689,0.20206504248740162,-0.001385426295311365,0.006551000290544741
2,Caco-2,H3K4me1,MIRb,0.00012038438065336236,0.9570233947960263,-0.004258001344544911,0.004498765490256306
3,Caco-2,H3K4me1,MIR,-0.001307376561441449,0.6126529947915713,-0.006368455377241252,0.0037537692310021364
4,Caco-2,H3K4me1,AluY,-0.002810545469071565,0.36629228725614205,-0.008907680083963924,0.0032867981189731088
5,Caco-2,H3K4me1,L2a,0.0059779417737151576,0.05674258659208385,-0.00017160115501597113,0.012127032585338359
6,Caco-2,H3K4me1,L2c,-0.0030296530701697326,0.38428282434775063,-0.009854442871225232,0.003795418974030054
7,Caco-2,H3K4me1,MIRc,0.0019336597766530454,0.5890902897959058,-0.0050826583080623485,0.008949787482633033
8,Caco-2,H3K4me1,MIR3,-0.006840645761599191,0.06028319507158772,-0.01397651059226575,0.0002959158288150316
9,Caco-2,H3K4me1,L2b,0.0018902760821259295,0.6130873588520906,-0.0054363484552389105,0.009216697686512296
10,Caco-2,H3K4me1,AluSx1,-0.00028462266203898353,0.9478488108935963,-0.008813154692683654,0.008243950773357454
11,Caco-2,H3K4me1,AluSz,0.006649821976995053,0.15199613923125338,-0.0024485898608738767,0.015747132940266053
12,Caco-2,H3K4me1,L2,0.0009847170717633216,0.8403656075815615,-0.008596872288261023,0.010566125627469993
13,Caco-2,H3K4me1,AluSp,0.0035905426481554893,0.4834580204504617,-0.006452034259010134,0.013632395361695701
14,Caco-2,H3K4me1,L2d2,-0.007795343923980731,0.1453321831639182,-0.01828582102315926,0.0026968493170737343
15,Caco-2,H3K4me1,AluSg,0.008899483119856935,0.10547001429741798,-0.0018752199288259597,0.01967212004393413
16,Caco-2,H3K4me1,FLAM_C,-0.0047465514272435096,0.40163672874573686,-0.015837703799155646,0.006345768875288365
17,Caco-2,H3K4me1,L1M5,-0.008988661812026138,0.201155653642746,-0.022768001958760196,0.004794092814703996
18,Caco-2,H3K4me1,MER5A,0.0009286544432149477,0.8720983314327455,-0.010376662064503286,0.012233733572727229
19,Caco-2,H3K4me1,AluSz6,-0.00782773361138238,0.175259485123218,-0.019144414864481554,0.003490953072914069
20,Caco-2,H3K4me1,L3,0.0007560981475388497,0.8989521751464984,-0.010913644284910916,0.012425634648245601
21,Caco-2,H3K4me1,AluSq2,2.7823450353010066e-05,0.9962260634690032,-0.011501068793289366,0.011556708297672488
22,Caco-2,H3K4me1,AluSc,-0.0020015271722554346,0.761812755266555,-0.014943197138679368,0.010940813290438984
23,Caco-2,H3K4me1,L2d,0.0020698832149729685,0.762370166040522,-0.011346815421916602,0.015485836699800085
24,Caco-2,H3K4me1,MER5B,-0.0015110598066476466,0.822351976388414,-0.014701019671163173,0.011679425853411817
25,Caco-2,H3K4me1,L1ME4a,-0.01405579906103482,0.04927824348247228,-0.028062306395235576,-4.377346732154318e-05
26,Caco-2,H3K4me1,AluSx3,-0.009839017431915426,0.17462920260940384,-0.02404141319238978,0.004367349040612885
27,Caco-2,H3K4me1,AluSc8,-0.010965512426451027,0.1358948917237674,-0.02537360654448798,0.0034471364095803314
28,Caco-2,H3K4me1,THE1B,-0.0038256099565644767,0.6025173069242128,-0.01822154798792932,0.010571913934698573
29,Caco-2,H3K4me1,MLT1A0,0.010782072179777565,0.17415070838571214,-0.004768788279260702,0.026327718939979334
30,Caco-2,H3K4me1,MER20,-0.005631832234689764,0.48650121092199816,-0.02149119342204286,0.01023036257814486
31,Caco-2,H3K4me1,AluJo,-0.003944990077768227,0.633203065245552,-0.02014482456962757,0.012256915315097996
32,Caco-2,H3K4me1,L1ME4b,-0.007694385267924962,0.36496573328234716,-0.024336944944491137,0.008952438054547696
33,Caco-2,H3K4me1,MSTA,-0.013823063399331051,0.09683953420871025,-0.030133905435005385,0.0024951384356108417
34,Caco-2,H3K4me1,FRAM,0.015409978682264593,0.06985832819464086,-0.0012517894742383809,0.03206319313238554
35,Caco-2,H3K4me1,AluJr,-0.0006108091607419948,0.9426335641720016,-0.017245870364230323,0.016024590102391555
36,Caco-2,H3K4me1,AluSq,0.0020614626778280984,0.8075019209051862,-0.014520620370744744,0.018642412136941244
37,Caco-2,H3K4me1,L1ME3G,-0.0003205154822659132,0.9708667831354847,-0.017519994982764246,0.016879153651465625
38,Caco-2,H3K4me1,MER5A1,-0.003004196345983284,0.7227717712688335,-0.0195996806977213,0.01359294295774723
39,Caco-2,H3K4me1,MLT1D,0.00671587515851903,0.4267474645180679,-0.009846245535333394,0.023274312124984885
40,Caco-2,H3K4me1,L1ME1,-0.005523446090958187,0.5145560690543423,-0.022130475786268432,0.011086630916713044
41,Caco-2,H3K4me1,L1MC4,-0.0001982654792406664,0.9816018776858242,-0.017047831703702023,0.01665141332424185
42,Caco-2,H3K4me1,MIR1_Amn,0.007922781068467262,0.3743402075587514,-0.009557216636478294,0.025397938193735255
43,Caco-2,H3K4me1,MLT1K,0.00970922043710516,0.2810384901920097,-0.00794447486643579,0.027356865429844255
44,Caco-2,H3K4me1,MER58A,0.0056997977624608925,0.5219605675958017,-0.011746647580513697,0.023142773891419693
45,Caco-2,H3K4me1,MLT1C2,-0.012980224702120234,0.14874164822834376,-0.030591625418458595,0.004639232985598645
46,Caco-2,H3K4me1,MLT1B,-0.00951213070806933,0.29732951561082843,-0.02739567085896509,0.008377496422968395
47,Caco-2,H3K4me1,MLT1J,0.013776275671928158,0.15083050828100555,-0.005020046878530562,0.03256286705082237
48,Caco-2,H3K4me1,THE1D,0.002648701106871445,0.781705696914138,-0.01608521207416784,0.021380755285709534
49,Caco-2,H3K4me1,L1MB8,0.025659717102556698,0.007557871638705184,0.006831130700114263,0.04447011556079018
50,Caco-2,H3K4me1,L1PA4,0.0036188022904186374,0.7098868117341826,-0.01544657095594235,0.022681545079580794
51,Caco-2,H3K4me1,L1MB3,0.005527780368530828,0.5720081161922678,-0.013644457378071321,0.024695955107753065
52,Caco-2,H3K4me1,AluYk2,,,,
53,Caco-2,H3K4me1,HAL1,0.007851927494753766,0.43567869899877776,-0.011890956408248714,0.02758869184617005
54,Caco-2,H3K4me1,MLT1A,0.021858290927212098,0.02855037250834638,0.00229107639318518,0.04140877375463064
55,Caco-2,H3K4me1,L1MC5a,-3.556170393628832e-06,0.9997206264268679,-0.019907502487045432,0.019900392963933845
56,Caco-2,H3K4me1,L1PA7,0.01037831236251533,0.30094801430701607,-0.009287207934976477,0.03003580780603336
57,Caco-2,H3K4me1,L1MB7,0.0010319862947765072,0.9183497438767025,-0.018697131551125807,0.02076030079578517
58,Caco-2,H3K4me1,MER3,0.00773916095648929,0.44859598415632007,-0.012278767862420527,0.027750888891244163
59,Caco-2,H3K4me1,L1PA5,-0.0014113434411773733,0.8902647063556006,-0.02145785897860179,0.018636306495508938
60,Caco-2,H3K4me1,AluSx4,-0.0020017460110310216,0.8466462499035965,-0.02228490901705306,0.01828306419879742
61,Caco-2,H3K4me1,L1MA9,0.005631706982866378,0.5869258649331592,-0.014684665740119217,0.02594343159162936
62,Caco-2,H3K4me1,L1PA16,-0.015513762921502534,0.13711508240333684,-0.03595590168162804,0.0049413530076204085
63,Caco-2,H3K4me1,L1M4,0.011716659511109593,0.29338692968973956,-0.010140333034913,0.03356246149697716
64,Caco-2,H3K4me1,MLT1L,-0.008581451379693466,0.4335590323574746,-0.030051499230590972,0.012896511433010882
65,Caco-2,H3K4me1,L1ME3A,-0.008675557579990063,0.41510624814729913,-0.029533612580342615,0.012190049471349504
66,Caco-2,H3K4me1,L1MC5,0.001053126128174715,0.9222202478036245,-0.020085159525488307,0.02219047069206324
67,Caco-2,H3K4me1,MLT1I,-0.01113765185076832,0.31413288072713647,-0.0328148644532039,0.010550034307864541
68,Caco-2,H3K4me1,L1PA3,0.020037765906937573,0.06745612640847287,-0.0014414895458452989,0.041498540663714015
69,Caco-2,H3K4me1,MER103C,0.013524220906943947,0.24386720475258977,-0.009222993981636061,0.03625744601258866
70,Caco-2,H3K4me1,Tigger1,-0.01405515756122456,0.20674573566933166,-0.03586229724524207,0.007765360865030895
71,Caco-2,H3K4me1,MSTB,0.014537905824045455,0.2007405289904586,-0.00773441040722475,0.0367958051116235
72,Caco-2,H3K4me1,L3b,-0.009439080173571122,0.42407962905203345,-0.03257340396278746,0.013705352464775875
73,Caco-2,H3K4me1,L1ME4c,-0.007711267867824382,0.5229751804635414,-0.03136364220487987,0.015949738034490766
74,Caco-2,H3K4me1,THE1C,0.014786131915262152,0.19588266440405222,-0.007622604196481077,0.03718002486278897
75,Caco-2,H3K4me1,MADE1,0.006704504859626097,0.5583339700917876,-0.015745677432515932,0.029147930597842587
76,Caco-2,H3K4me1,MER2,0.004600503388161657,0.6902736074807145,-0.01802632868632716,0.027222625671582852
77,Caco-2,H3K4me1,FLAM_A,0.013321897346590198,0.2603964360862112,-0.009879768523439365,0.03650922671922311
78,Caco-2,H3K4me1,MLT1H,0.009386068750570282,0.4276233071685618,-0.013805287429960388,0.032567332048195737
79,Caco-2,H3K4me1,L1MEd,-0.0022616026094546995,0.8487550548857866,-0.025500236481615916,0.020979474217067088
80,Caco-2,H3K4me1,LTR33,-0.023640706555084018,0.046056662845234915,-0.046845109856295995,-0.0004108026153802264
81,Caco-2,H3K4me1,AluJr4,-0.02557725264833015,0.0327096880891105,-0.04902543285679041,-0.002100894582682615
82,Caco-2,H3K4me1,L1MC1,0.004221843709950202,0.7176568597784666,-0.01866091461831675,0.02710018152461955
83,Caco-2,H3K4me1,L1ME3Cz,-0.007482251108841545,0.5364654700074082,-0.03119707927081552,0.016240996444777417
84,Caco-2,H3K4me1,AluYk3,-0.0001666839770004503,0.9889022814793682,-0.02365048156810982,0.02331729746422935
85,Caco-2,H3K4me1,MER33,0.011904623931179161,0.3187608198210711,-0.011499463686284853,0.03529567541845495
86,Caco-2,H3K4me1,AluSg4,-0.025734490278708184,0.03257164202406436,-0.049307810031311974,-0.0021325153969605215
