,family_name
Alu,1164096
L1,565459
MIR,534149
L2,373176
ERVL-MaLR,259882
hAT-Charlie,232104
ERV1,116610
ERVL,116199
TcMar-Tigger,106067
hAT-Tip100,57232
CR1,49193
Gypsy,18413
hAT-Blackjack,16167
TcMar-Mariner,15617
RTE-X,10790
ERVK,7870
TcMar-Tc2,6918
SVA,6274
RTE-BovB,5031
tRNA-RTE,4154
hAT-Ac,3692
hAT,3038
MULE-MuDR,2459
PiggyBac,2156
5S-Deu-L2,2019
Helitron,1869
hAT-Tag1,1849
tRNA,1612
Penelope,779
TcMar-Tc1,701
Dong-R4,503
tRNA-Deu,455
Kolobok,404
PIF-Harbinger,402
Crypton,305
Merlin,232
TcMar,223
L1-Tx1,151
Crypton-A,150
I-Jockey,132
hAT-Tip100?,67
TcMar-Pogo,37
hAT?,34
hAT-hAT19,18
