,family_name,subfamily_name
0,L1,L1MC3
1,ERV1,LTR60B
3,ERV1,MER34C_v
4,ERVL-MaLR,MSTA1
5,ERV1,MER4A1
6,ERVL-MaLR,MLT1I
7,L1,L1M5
8,ERVL-MaLR,MLT1H2
9,L1,L1MA4
10,Alu,AluY
11,ERV1,MER4D1
12,ERV1,MER4A
14,MIR,MIRb
15,ERV1,MER31B
16,Alu,AluJb
17,Alu,AluSx3
18,Alu,AluSx
20,hAT-Charlie,MER112
21,MULE-MuDR,Ricksha_0
23,MIR,MIR3
25,TcMar-Tigger,MER46C
26,hAT-Charlie,Charlie20a
28,Alu,AluSg
29,L1,L1MD3
30,L1,L1ME1
32,L1,L1MD
34,Alu,AluYf1
35,ERV1,MER39B
38,Alu,AluSq2
39,Alu,AluSx1
40,ERVL-MaLR,MLT1K
41,ERV1,LTR9B
43,hAT-Charlie,MER5A
45,ERV1,MER4E1
46,Alu,AluSx4
47,L2,L2c
48,L1,L1ME4a
49,MIR,MIRc
50,ERVL-MaLR,MLT1E3
51,hAT-Charlie,Charlie4z
52,L2,L2a
53,Alu,FRAM
55,hAT-Charlie,MER5B
58,ERV1,LTR37B
59,Alu,AluSq
60,ERVL-MaLR,MLT1O
61,ERVL-MaLR,MSTA
62,Alu,Alu
65,hAT-Charlie,MER103C
67,ERV1,LTR39
68,Alu,AluSz6
69,L1,L1PA4
71,RTE-X,L5
72,L2,L2
74,ERVL,LTR33
75,MIR,MIR
76,Alu,AluSc
77,ERVL-MaLR,MLT1H
79,CR1,L3
82,,MamRep605
83,Alu,AluSz
88,TcMar-Tigger,Tigger5
91,ERVL-MaLR,MSTB1
92,L1,L1MC5a
94,L1,L1ME3B
95,L1,L1M4
96,L1,HAL1M8
97,L1,L1MA2
98,L1,L1PA6
100,L1,L1PA5
101,L1,L1P4
103,L1,L1ME3D
105,L1,L1PA8A
106,L1,L1PA10
107,L1,L1MA8
112,L1,L1PA8
125,ERVK,LTR22C2
131,L1,L1PA15-16
144,L1,L1PA11
153,L1,L1MEd
155,L1,L1M3
156,L1,L1MA7
157,ERVL,ERVL-E-int
159,L1,L1PA7
169,L1,L1M7
170,L1,L1PA14
171,Alu,FLAM_C
172,L2,L2b
174,ERVL-MaLR,MLT1H1
175,ERVL-MaLR,THE1B
177,ERV1,LTR64
181,ERVL-MaLR,MLT1F2
184,ERVL,LTR33B
185,ERV1,MER65D
186,L1,L1MA5
187,ERVL-MaLR,MLT1D
188,ERVL-MaLR,THE1D
189,Alu,AluYa5
193,Alu,AluYk2
194,L1,L1M2c
202,Alu,AluJo
207,L1,L1ME4c
209,hAT-Charlie,MER1A
210,ERVL,LTR41
212,SVA,SVA_E
216,TcMar-Tigger,MER8
239,ERVL,MER21C
241,Alu,AluJr
242,L1,L1MB8
250,Alu,AluSp
255,TcMar-Tigger,Tigger12
259,Alu,FLAM_A
262,Alu,AluSq10
